Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Ball0:x
0.34200,0.05000,1.71505,0.00000,1.81505
0.34300,0.05000,1.71587,0.00000,1.81587
0.34400,0.05000,1.71669,0.00000,1.81669
0.34500,0.05000,1.71752,0.00000,1.81752
0.34600,0.05000,1.71834,0.00000,1.81834
0.34700,0.05000,1.71916,0.00000,1.81916
0.34800,0.05000,1.71998,0.00000,1.81998
0.34900,0.05000,1.72080,0.00000,1.82080
0.35000,0.05000,1.72162,0.00000,1.82162
0.35100,0.05000,1.72244,0.00000,1.82244
0.35200,0.05000,1.72326,0.00000,1.82326
0.35300,0.05000,1.72408,0.00000,1.82408
0.35400,0.05000,1.72489,0.00000,1.82489
0.35500,0.05000,1.72571,0.00000,1.82571
0.35600,0.05000,1.72653,0.00000,1.82653
0.35700,0.05000,1.72734,0.00000,1.82734
0.35800,0.05000,1.72815,0.00000,1.82815
0.35900,0.05000,1.72897,0.00000,1.82897
0.36000,0.05000,1.72978,0.00000,1.82978
0.36100,0.05000,1.73059,0.00000,1.83059
0.36200,0.05000,1.73140,0.00000,1.83140
0.36300,0.05000,1.73221,0.00000,1.83221
0.36400,0.05000,1.73302,0.00000,1.83302
0.36500,0.05000,1.73383,0.00000,1.83383
0.36600,0.05000,1.73464,0.00000,1.83464
0.36700,0.05000,1.73545,0.00000,1.83545
0.36800,0.05000,1.73626,0.00000,1.83626
0.36900,0.05000,1.73706,0.00000,1.83706
0.37000,0.05000,1.73787,0.00000,1.83787
0.37100,0.05000,1.73868,0.00000,1.83868
0.37200,0.05000,1.73948,0.00000,1.83948
0.37300,0.05000,1.74028,0.00000,1.84028
0.37400,0.05000,1.74109,0.00000,1.84109
0.37500,0.05000,1.74189,0.00000,1.84189
0.37600,0.05000,1.74269,0.00000,1.84269
0.37700,0.05000,1.74349,0.00000,1.84349
0.37800,0.05000,1.74429,0.00000,1.84429
0.37900,0.05000,1.74509,0.00000,1.84509
0.38000,0.05000,1.74589,0.00000,1.84589
0.38100,0.05000,1.74669,0.00000,1.84669
0.38200,0.05000,1.74749,0.00000,1.84749
0.38300,0.05000,1.74829,0.00000,1.84829
0.38400,0.05000,1.74908,0.00000,1.84908
0.38500,0.05000,1.74988,0.00000,1.84988
0.38600,0.05000,1.75067,0.00000,1.85067
0.38700,0.05000,1.75147,0.00000,1.85147
0.38800,0.05000,1.75226,0.00000,1.85226
0.38900,0.05000,1.75305,0.00000,1.85305
0.39000,0.05000,1.75384,0.00000,1.85384
0.39100,0.05000,1.75464,0.00000,1.85464
0.39200,0.05000,1.75543,0.00000,1.85543
0.39300,0.05000,1.75622,0.00000,1.85622
0.39400,0.05000,1.75701,0.00000,1.85701
0.39500,0.05000,1.75779,0.00000,1.85779
0.39600,0.05000,1.75858,0.00000,1.85858
0.39700,0.05000,1.75937,0.00000,1.85937
0.39800,0.05000,1.76016,0.00000,1.86016
0.39900,0.05000,1.76094,0.00000,1.86094
0.40000,0.05000,1.76173,0.00000,1.86173
0.40100,0.05000,1.76251,0.00000,1.86251
0.40200,0.05000,1.76329,0.00000,1.86329
0.40300,0.05000,1.76408,0.00000,1.86408
0.40400,0.05000,1.76486,0.00000,1.86486
0.40500,0.05000,1.76564,0.00000,1.86564
0.40600,0.05000,1.76642,0.00000,1.86642
0.40700,0.05000,1.76720,0.00000,1.86720
0.40800,0.05000,1.76798,0.00000,1.86798
0.40900,0.05000,1.76876,0.00000,1.86876
0.41000,0.05000,1.76954,0.00000,1.86954
0.41100,0.05000,1.77031,0.00000,1.87031
0.41200,0.05000,1.77109,0.00000,1.87109
0.41300,0.05000,1.77187,0.00000,1.87187
0.41400,0.05000,1.77264,0.00000,1.87264
0.41500,0.05000,1.77341,0.00000,1.87341
0.41600,0.05000,1.77419,0.00000,1.87419
0.41700,0.05000,1.77496,0.00000,1.87496
0.41800,0.05000,1.77573,0.00000,1.87573
0.41900,0.05000,1.77650,0.00000,1.87650
0.42000,0.05000,1.77727,0.00000,1.87727
0.42100,0.05000,1.77804,0.00000,1.87804
0.42200,0.05000,1.77881,0.00000,1.87881
0.42300,0.05000,1.77958,0.00000,1.87958
0.42400,0.05000,1.78035,0.00000,1.88035
0.42500,0.05000,1.78112,0.00000,1.88112
0.42600,0.05000,1.78188,0.00000,1.88188
0.42700,0.05000,1.78265,0.00000,1.88265
0.42800,0.05000,1.78341,0.00000,1.88341
0.42900,0.05000,1.78418,0.00000,1.88418
0.43000,0.05000,1.78494,0.00000,1.88494
0.43100,0.05000,1.78570,0.00000,1.88570
0.43200,0.05000,1.78647,0.00000,1.88647
0.43300,0.05000,1.78723,0.00000,1.88723
0.43400,0.05000,1.78799,0.00000,1.88799
0.43500,0.05000,1.78875,0.00000,1.88875
0.43600,0.05000,1.78951,0.00000,1.88951
0.43700,0.05000,1.79026,0.00000,1.89026
0.43800,0.05000,1.79102,0.00000,1.89102
0.43900,0.05000,1.79178,0.00000,1.89178
0.44000,0.05000,1.79253,0.00000,1.89253
0.44100,0.05000,1.79329,0.00000,1.89329
0.44200,0.05000,1.79404,0.00000,1.89404
0.44300,0.05000,1.79480,0.00000,1.89480
0.44400,0.05000,1.79555,0.00000,1.89555
0.44500,0.05000,1.79630,0.00000,1.89630
0.44600,0.05000,1.79705,0.00000,1.89705
