Time,Spring_0:a_end,Spring_0:b_end,FixedHook0:x,Block0:x
10.57000,0.05000,0.86741,0.00000,0.91741
10.58000,0.05000,0.87097,0.00000,0.92097
10.59000,0.05000,0.87454,0.00000,0.92454
10.60000,0.05000,0.87813,0.00000,0.92813
10.61000,0.05000,0.88174,0.00000,0.93174
10.62000,0.05000,0.88536,0.00000,0.93536
10.63000,0.05000,0.88900,0.00000,0.93900
10.64000,0.05000,0.89265,0.00000,0.94265
10.65000,0.05000,0.89633,0.00000,0.94633
10.66000,0.05000,0.90001,0.00000,0.95001
10.67000,0.05000,0.90371,0.00000,0.95371
10.68000,0.05000,0.90743,0.00000,0.95743
10.69000,0.05000,0.91116,0.00000,0.96116
10.70000,0.05000,0.91490,0.00000,0.96490
10.71000,0.05000,0.91866,0.00000,0.96866
10.72000,0.05000,0.92243,0.00000,0.97243
10.73000,0.05000,0.92622,0.00000,0.97622
10.74000,0.05000,0.93001,0.00000,0.98001
10.75000,0.05000,0.93382,0.00000,0.98382
10.76000,0.05000,0.93764,0.00000,0.98764
10.77000,0.05000,0.94147,0.00000,0.99147
10.78000,0.05000,0.94531,0.00000,0.99531
10.79000,0.05000,0.94916,0.00000,0.99916
10.80000,0.05000,0.95302,0.00000,1.00302
10.81000,0.05000,0.95689,0.00000,1.00689
10.82000,0.05000,0.96077,0.00000,1.01077
10.83000,0.05000,0.96466,0.00000,1.01466
10.84000,0.05000,0.96855,0.00000,1.01855
10.85000,0.05000,0.97246,0.00000,1.02246
10.86000,0.05000,0.97637,0.00000,1.02637
10.87000,0.05000,0.98029,0.00000,1.03029
10.88000,0.05000,0.98422,0.00000,1.03422
10.89000,0.05000,0.98815,0.00000,1.03815
10.90000,0.05000,0.99209,0.00000,1.04209
10.91000,0.05000,0.99604,0.00000,1.04604
10.92000,0.05000,0.99999,0.00000,1.04999
10.93000,0.05000,1.00394,0.00000,1.05394
10.94000,0.05000,1.00790,0.00000,1.05790
10.95000,0.05000,1.01187,0.00000,1.06187
10.96000,0.05000,1.01584,0.00000,1.06584
10.97000,0.05000,1.01981,0.00000,1.06981
10.98000,0.05000,1.02378,0.00000,1.07378
10.99000,0.05000,1.02776,0.00000,1.07776
11.00000,0.05000,1.03174,0.00000,1.08174
11.01000,0.05000,1.03572,0.00000,1.08572
11.02000,0.05000,1.03970,0.00000,1.08970
11.03000,0.05000,1.04369,0.00000,1.09369
11.04000,0.05000,1.04767,0.00000,1.09767
11.05000,0.05000,1.05166,0.00000,1.10166
11.06000,0.05000,1.05564,0.00000,1.10564
11.07000,0.05000,1.05962,0.00000,1.10962
11.08000,0.05000,1.06361,0.00000,1.11361
11.09000,0.05000,1.06759,0.00000,1.11759
11.10000,0.05000,1.07157,0.00000,1.12157
11.11000,0.05000,1.07555,0.00000,1.12555
11.12000,0.05000,1.07952,0.00000,1.12952
11.13000,0.05000,1.08349,0.00000,1.13349
11.14000,0.05000,1.08746,0.00000,1.13746
11.15000,0.05000,1.09143,0.00000,1.14143
11.16000,0.05000,1.09539,0.00000,1.14539
11.17000,0.05000,1.09935,0.00000,1.14935
11.18000,0.05000,1.10330,0.00000,1.15330
11.19000,0.05000,1.10724,0.00000,1.15724
11.20000,0.05000,1.11119,0.00000,1.16119
11.21000,0.05000,1.11512,0.00000,1.16512
11.22000,0.05000,1.11905,0.00000,1.16905
11.23000,0.05000,1.12297,0.00000,1.17297
11.24000,0.05000,1.12688,0.00000,1.17688
11.25000,0.05000,1.13079,0.00000,1.18079
11.26000,0.05000,1.13469,0.00000,1.18469
11.27000,0.05000,1.13858,0.00000,1.18858
11.28000,0.05000,1.14246,0.00000,1.19246
11.29000,0.05000,1.14633,0.00000,1.19633
11.30000,0.05000,1.15020,0.00000,1.20020
11.31000,0.05000,1.15405,0.00000,1.20405
11.32000,0.05000,1.15789,0.00000,1.20789
11.33000,0.05000,1.16173,0.00000,1.21173
11.34000,0.05000,1.16555,0.00000,1.21555
11.35000,0.05000,1.16936,0.00000,1.21936
11.36000,0.05000,1.17315,0.00000,1.22315
11.37000,0.05000,1.17694,0.00000,1.22694
11.38000,0.05000,1.18071,0.00000,1.23071
11.39000,0.05000,1.18447,0.00000,1.23447
11.40000,0.05000,1.18822,0.00000,1.23822
11.41000,0.05000,1.19195,0.00000,1.24195
11.42000,0.05000,1.19567,0.00000,1.24567
11.43000,0.05000,1.19938,0.00000,1.24938
11.44000,0.05000,1.20307,0.00000,1.25307
11.45000,0.05000,1.20674,0.00000,1.25674
11.46000,0.05000,1.21040,0.00000,1.26040
11.47000,0.05000,1.21404,0.00000,1.26404
11.48000,0.05000,1.21767,0.00000,1.26767
11.49000,0.05000,1.22128,0.00000,1.27128
11.50000,0.05000,1.22487,0.00000,1.27487
11.51000,0.05000,1.22845,0.00000,1.27845
11.52000,0.05000,1.23201,0.00000,1.28201
11.53000,0.05000,1.23555,0.00000,1.28555
11.54000,0.05000,1.23907,0.00000,1.28907
11.55000,0.05000,1.24258,0.00000,1.29258
11.56000,0.05000,1.24606,0.00000,1.29606
11.57000,0.05000,1.24952,0.00000,1.29952
11.58000,0.05000,1.25297,0.00000,1.30297
11.59000,0.05000,1.25640,0.00000,1.30640
11.60000,0.05000,1.25980,0.00000,1.30980
11.61000,0.05000,1.26318,0.00000,1.31318
11.62000,0.05000,1.26655,0.00000,1.31655
11.63000,0.05000,1.26989,0.00000,1.31989
11.64000,0.05000,1.27321,0.00000,1.32321
